GROUP,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,ID,DivDiff
Holikachuk,63.33,-157.54,0.0152,-1.818156412,437.6726459,0.105696422,-0.921255654,191557.345,111.72,HG,0.174303578
Norton Sound Inuit,63.98,-160.75,0.0761,-1.118615343,446.6447582,0.104097123,-0.904863803,199491.54,108.36,HG,0.175902877
Kotzebue Sound Inuit,66.77,-161.53,0.0663,-1.178486472,355.9741067,0.097352134,-0.86882512,126717.5646,94.77,HG,0.182647866
Great Whale Inuit,55.32,-77.69,0.0186,-1.730487056,395.0350514,0.096263699,-0.97249135,156052.6918,92.67,HG,0.183736301
Sivokamiut Inuit,63.49,-170.31,0.15,-0.823908741,433.2429043,0.04105451,-0.856185664,187699.4141,16.85,HG,0.23894549
Point Hope Inuit,68.29,-166.62,0.042,-1.37675071,278.6567858,0.068740175,-0.830965013,77649.60427,47.25,HG,0.211259825
Tareumiut Inuit,71.32,-156.78,0.0386,-1.413412695,177.4344959,0.059749462,-0.82661062,31483.00034,35.7,HG,0.220250538
Paraujano,9.9,-72.41,0.35,-0.455931956,1850.723874,0.533535414,0.109154906,3425178.858,2846.6,HG,0.253535414
Calusa,26.5,-82,0.3873,-0.411952503,1760.350983,0.287559262,-0.140611221,3098835.583,826.9,HG,0.007559262
Gabrielino,34,-118,0.649,-0.187755303,665.9142127,0.227897467,-0.621448548,443441.7387,519.37,HG,0.052102533
Chumash,34.63,-119.6,1.182,0.072617477,1049.003459,0.248862064,-0.63800277,1100408.257,619.32,HG,0.031137936
Nootka,49.34,-125.74,1.539,0.18723862,1070.524148,0.207725456,-0.924548361,1146021.951,431.5,HG,0.072274544
Lillooet,50.46,-123,0.235,-0.628932138,882.8318153,0.246596079,-0.940937152,779392.0141,608.1,HG,0.033403921
Lummi,48.84,-122.34,1.0463,0.019656225,1379.733707,0.274293214,-0.928807507,1903665.102,752.37,HG,0.005706786
Quinault,47.38,-123.82,0.852,-0.069560405,1213.463617,0.272652558,-0.908363542,1472493.95,743.39,HG,0.007347442
Comox,50,-125.5,0.55,-0.259637311,1170.7225,0.211001386,-0.93018923,1370591.172,445.22,HG,0.068998614
Bella-bella,52.87,-127.87,0.2051,-0.68803434,927.9601793,0.197500762,-0.949482897,861110.0944,390.07,HG,0.082499238
Quileute,47.77,-124.14,1.043,0.018284308,1256.693158,0.267208552,-0.91096774,1579277.693,714,HG,0.012791448
