Group,class,Latitude,DENSITY,LnDENSITY,Longitude,npp,biodiv,pathos
Plains Cree,1,51.86,0.0273,-1.563837353,-102.67,659.1079622,0.175930157,-0.974947019
Arenda (northern),1,-23.7,0.0266,-1.575118363,133.76,523.8218854,0.176107161,-0.481642389
Plains Ojibwa,1,47.6,0.0279,-1.554395797,-97.25,854.6723556,0.176155906,-0.930592527
Weagamon Ojibwa,2,52.79,0.0444,-1.35261703,-113.86,762.2224755,0.176451853,-0.97343963
Gitksan,3,55.65,0.2358,-0.627456199,-128.06,796.5439686,0.177770565,-0.959616086
Rainroad Valley Shoshoni,1,38.33,0.0428,-1.368556231,-115.78,424.8899047,0.17778278,-0.784527026
Kariera,1,-20.88,0.095,-1.022276395,118.27,553.2410073,0.177803693,-0.038544004
Serrano,2,34.52,0.1758,-0.754981129,-117,448.7172072,0.177825862,-0.649101624
Panamint Shoshoni,1,36.37,0.0212,-1.673664139,-117.33,320.2264661,0.17829453,-0.713886044
Barkindji,1,-32.4,0.1543,-0.811634074,142.25,462.2336899,0.179047127,-0.464970437
Seri,1,29.59,0.2548,-0.593800576,-112.18,282.5979678,0.17982893,-0.427364004
Arapahoe,1,40.13,0.075,-1.124938737,-102.72,719.532904,0.180393165,-0.80195283
Cattail Paiute,1,40.12,0.22,-0.657577319,-118.37,295.1991446,0.181375728,-0.820389935
Cheyenne,2,38.83,0.0482,-1.316952962,-102.35,689.046318,0.18321,-0.75729704
Kawaiisu Shoshoni,1,35.37,0.119,-0.924453039,-118,286.2042825,0.186344404,-0.673277071
Chilcotin,3,51.68,0.1152,-0.938547521,-124,682.9002667,0.187505642,-0.949104506
White Knife Shoshoni,1,41,0.1171,-0.931443105,-117.31,383.5242239,0.188031528,-0.846525832
Walapai,1,35.95,0.0386,-1.413412695,-114.5,273.5612003,0.188258976,-0.722568753
Carrier,3,53.33,0.0759,-1.119758224,-123.15,817.6043111,0.188497724,-0.959181105
Reese River Shoshoni,1,39.25,0.167,-0.777283529,-117.32,492.3845324,0.18943808,-0.802951127
Comanche,2,36.83,0.0233,-1.632644079,-100.5,891.3914211,0.189607432,-0.666147454
Tasmanians (western),1,-41.38,0.1335,-0.874518734,145.21,1397.485058,0.190358424,-0.494914132
Cahuilla,1,33.59,0.4375,-0.359021943,-116.24,262.677402,0.191043103,-0.61249343
Ualaria,1,-29.3,0.09,-1.045757491,147.25,752.6038292,0.1911424,-0.425031711
Little Smokey Shoshoni,1,39.33,0.01822,-1.739451627,-115.84,484.0454138,0.191416437,-0.81039262
Deep Spring Paiute,1,37.28,0.0354,-1.450996738,-118,284.4017238,0.191474329,-0.73747545
Tsimshim,3,54,0.419,-0.377785977,-129.58,990.0564197,0.191729204,-0.951615164
!Ko,1,-23.86,0.0103,-1.987162775,22.2,607.8601773,0.19305607,-0.113010906
Saline Valley Shoshoni,1,36.65,0.0232,-1.634512015,-117.79,416.3263315,0.194444598,-0.715928888
Koso Mountain Shoshoni,1,36.12,0.0857,-1.067019178,-117.7,430.0144183,0.194976853,-0.698304643
Kwakiutl,3,50.42,0.687,-0.163043263,-126.67,997.9658236,0.195023129,-0.932044257
Gosiute Shoshoni,1,39.88,0.0167,-1.777283529,-114,689.046318,0.195516644,-0.835005907
Fish Lake Paiute,1,37.69,0.0389,-1.410050399,-118.14,264.4943809,0.196665795,-0.752756693
Kiowa,1,36.9,0.014,-1.853871964,-99.1,1030.782435,0.196991538,-0.657814988
Wongaibon,1,-32.14,0.0512,-1.290730039,146.09,737.6314654,0.197489977,-0.451789249
Bella-bella,3,52.87,0.2051,-0.68803434,-127.87,927.9601793,0.197500762,-0.949482897
Antelope Valley Shoshoni,1,40.19,0.0113,-1.946921557,-114.24,507.3253548,0.197512577,-0.841148328
Spring Valley Shoshoni,1,39.19,0.0609,-1.215382707,-114.48,445.326853,0.199331543,-0.818227501
Yir-yoront,1,-15,0.08,-1.096910013,142.17,1648.590275,0.201889196,-0.344978064
Kiowa Apache,1,35.83,0.0414,-1.382999659,-98.9,1128.934062,0.202044665,-0.608159214
Gilyak,2,51.54,0.6,-0.22184875,140,611.4541773,0.202169773,-0.556010984
Lungga,1,-16.91,0.045,-1.346787486,127.83,1160.958911,0.202524642,-0.189379646
Kaibab Southern Paiute,1,36.9,0.0371,-1.43062609,-112.55,538.5753984,0.20415451,-0.773675555
Haisla,3,53.5,0.191,-0.718966633,-128.42,912.7758266,0.204175008,-0.951198652
Crow,2,45.83,0.0581,-1.235823868,-108.48,665.9142127,0.204638175,-0.931062794
Coahuilenos,1,26,0.0168,-1.774690718,-102.07,457.173421,0.205038002,-0.185583392
Anotarianunt Southern Paiute,1,37.86,0.0345,-1.462180905,-110.72,520.5313364,0.205622809,-0.79441764
Harney Valley Paiute,1,43.25,0.0124,-1.906578315,-119.14,465.6016067,0.205703295,-0.895597315
Ruby Valley Shoshoni,1,40.36,0.1379,-0.860435734,-115.39,721.0466315,0.205970142,-0.841014387
Pyramid Lake Paiute,2,40.01,0.1853,-0.732124581,-119.6,406.012444,0.205976265,-0.815652315
Chiricahua Apache,1,32.52,0.0116,-1.935542011,-101.76,804.2310839,0.206213823,-0.499358939
Salmon-eater Shoshoni,1,42.94,0.069,-1.161150909,-115.3,468.965054,0.206948815,-0.891664643
Kitikitegon,1,45,0.0309,-1.510041521,-91,1021.881907,0.207076924,-0.850251205
Umatiela,2,45.49,0.105,-0.978810701,-119.94,525.4655219,0.207356708,-0.914212772
Nootka,3,49.34,1.539,0.18723862,-125.74,1070.524148,0.207725456,-0.924548361
Diegueno,1,32.44,0.181,-0.742321425,-116.49,672.1053191,0.207970284,-0.567328947
Northern Foothill Yokuts,2,37.44,0.3829,-0.416914634,-120.44,653.4825598,0.208490135,-0.730760075
Grouse Creek Shoshoni,1,41.59,0.0164,-1.785156152,-113.94,487.3843839,0.208511586,-0.868782475
Alcatcho,3,51.32,0.075,-1.124938737,-124.02,709.3726625,0.209360648,-0.945009503
G/Wi,1,-22.46,0.0293,-1.53313238,23.39,647.2419256,0.210085397,-0.062655894
Tasmanians (eastern),2,-42.62,0.0817,-1.087777943,147.49,1032.089562,0.210394995,-0.505806989
Bella-coola,3,52.32,0.13,-0.886056648,-126.58,735.4770841,0.210877461,-0.948525887
Comox,3,50,0.55,-0.259637311,-125.5,1170.7225,0.211001386,-0.93018923
Orogens,2,51.91,0.043,-1.366531544,122.5,337.7263021,0.211133477,-0.393218872
Tenino,2,45.59,0.19,-0.721246399,-120.45,458.8612974,0.211221062,-0.913055431
Micmac,2,46.99,0.0232,-1.634512015,-65,974.3337722,0.212487886,-0.850271276
Yakima,1,46.33,0.27,-0.568636236,-120.27,383.5242239,0.21358822,-0.918623329
Bannok,2,43.66,0.0231,-1.63638802,-112.32,474.0018573,0.213877855,-0.903099049
Bohogue-Northern Shoshoni,2,43,0.0104,-1.982966661,-112,678.2800038,0.214058564,-0.892715751
Tubatulabal,2,36.01,0.172,-0.764471553,-118.32,965.6582775,0.214201048,-0.694869487
Mono Lake Paiute,1,38.11,0.059,-1.229147988,-118.85,512.2858205,0.215051735,-0.75857692
Kua,1,-22.88,0.0636,-1.196542884,24.41,648.8036384,0.215169792,-0.043856119
Bear Creek Paiute,1,43.94,0.011,-1.958607315,-120.49,574.2705369,0.215524865,-0.89738539
Cupeno,1,33.26,0.488,-0.311580178,-116.59,902.5626528,0.217083213,-0.599240244
Tjapwurong,1,-35.86,0.35,-0.455931956,141.38,689.046318,0.217837799,-0.472462507
Surprise Valley Paiute,1,41.5,0.1359,-0.866780543,-120.06,590.324024,0.218583498,-0.849686621
Tiwi,1,-11.59,0.375,-0.425968732,130.87,2016.112494,0.218872599,-0.203900271
Sanpoil,1,47.94,0.112,-0.950781977,-118.44,644.1153873,0.218875599,-0.938671203
Lake Yokuts,1,36,0.381,-0.419075024,-119.83,316.6653628,0.219833805,-0.682127272
Nharo,1,-21.64,0.125,-0.903089987,21.61,748.1225541,0.221494353,-0.098115422
Nunggubuyu,1,-13.76,0.23,-0.638272164,135.98,1578.642659,0.221959173,-0.326093642
Thompson,2,51.26,0.332,-0.478861916,-121.75,727.0915005,0.222315476,-0.950375887
Shuswap,2,53.41,0.124,-0.906578315,-119.53,544.8645412,0.223033133,-0.965908849
Owens Valley Paiute,1,36.88,0.3804,-0.419759492,-118.18,414.6102025,0.223552901,-0.724020379
Mineng,1,-34.95,0.07,-1.15490196,117.81,1275.673932,0.224500472,-0.252335812
Luiseno,2,33.42,0.679,-0.168130226,-117.3,580.704726,0.225705377,-0.605167333
Murngin (Yolngu),1,-12.93,0.1176,-0.929592678,135.84,1676.12335,0.226481179,-0.320366348
Hukunduka Shoshoni,1,41.55,0.0296,-1.528708289,-112.22,713.4679326,0.226812266,-0.869971627
Washo,2,39.08,0.149,-0.826813732,-119.82,497.3747306,0.227242877,-0.785524606
Gabrielino,3,34,0.649,-0.187755303,-118,665.9142127,0.227897467,-0.621448548
Utewimonantci,1,37.67,0.026,-1.585026652,-109,662.8124877,0.228705431,-0.778583171
