GROUP,Latitude,Longitude,class,class2,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,DivDiff
HUMR,11,28,,,0.9167,-0.037772769,934.3513596,0.263315058,0.573259,873012.4632,693.3481965,0.114684942
JIE,3.1,34,,,5.404,0.73271534,1145.015596,0.441503661,0.692548413,1311060.714,1949.254825,0.063503661
KABABISH,15,26.5,,,1.0856,0.035669835,352.0644764,0.161309187,0.443792698,123949.3956,260.2065365,0.216690813
Kazakh,48,67,,,1.457,0.163459552,350.3056634,0.143021652,-0.298224479,122714.0578,204.551929,0.234978348
Khalkas,46.75,104,,,0.3618,-0.441531437,453.7943041,0.137686377,-0.319963892,205929.2704,189.5753828,0.240313623
Koryak,62.43,166.08,,,0.0063,-2.200659451,300.438921,0.096224971,-0.679140735,90263.54526,92.59245072,0.281775029
MAASAI,-2,36,,,0.025,-1.602059991,802.7726091,0.565589999,0.68299216,644443.862,3198.92047,0.187589999
MUTAIR,25,42,,,0.7785,-0.108741383,222.3971025,0.06063871,0.463254766,49460.47118,36.77053119,0.31736129
Northern Somali,4.9,45.62,,,6.6324,0.821670711,510.6334297,0.19206613,0.393456356,260746.4995,368.8939835,0.18593387
Nurzay,33.1,62.42,,,0.1433,-0.84375381,313.0995272,0.144653495,0.195628275,98031.31395,209.2463356,0.233346505
Paratia,-15.47,-70.47,,,6.1414,0.788267385,1145.339897,0.224387049,-0.05364035,1311803.48,503.4954765,0.153612951
Rwala,31,39,,,0.72,-0.142667504,179.65198,0.053407096,0.387388723,32274.83393,28.5231791,0.324592904
Saami,69,24,,,0.1649,-0.782779344,465.0438169,0.092811351,-0.751071325,216265.7517,86.13946834,0.285188649
Sherpa,27.92,86.75,,,2.4636,0.391570195,560.9646503,0.354410409,0.570160836,314681.3389,1256.06738,0.023589591
TEDA,20,17.5,,,0.0889,-1.051098239,55.2607047,0.084488925,-0.105188249,3053.745484,71.3837842,0.293511075
Toda,11.35,77.25,,,0.5683,-0.245422344,1127.691262,0.339106997,0.573533539,1271687.582,1149.935554,0.038893003
TUAREG-AHAGGAR,25,5,,,0.032,-1.494850022,45.46792322,0.057048121,-0.0417874,2067.332042,32.54488126,0.320951879
TUAREG-AYR,15,7.5,,,0.1107,-0.955852379,477.3541564,0.196086178,0.291075705,227866.9906,384.4978912,0.181913822
TURKANA,3.25,36,,,2.4627,0.39141151,329.1085618,0.264581079,0.614241748,108312.4455,700.0314718,0.113418921
Yakut,64,129.5,,,0.0645,-1.190440285,175.4582988,0.141263599,-0.684462714,30785.6146,199.5540451,0.236736401
